// sample: {time(ms),pitch(deg),pitch_spd(rad/s),yaw(deg),yaw_spd(rad/s)},
{
{576, 0.0f, 0.0f, -4.232738f, 1.253627f},
{578, 0.0f, 0.0f, -4.088617f, 1.261718f},
{580, 0.0f, 0.0f, -3.943586f, 1.269510f},
{582, 0.0f, 0.0f, -3.797679f, 1.276999f},
{584, 0.0f, 0.0f, -3.650931f, 1.284181f},
{586, 0.0f, 0.0f, -3.503378f, 1.291052f},
{588, 0.0f, 0.0f, -3.355056f, 1.297607f},
{590, 0.0f, 0.0f, -3.206000f, 1.303842f},
{592, 0.0f, 0.0f, -3.056249f, 1.309754f},
{594, 0.0f, 0.0f, -2.905840f, 1.315339f},
{596, 0.0f, 0.0f, -2.754809f, 1.320593f},
{598, 0.0f, 0.0f, -2.603195f, 1.325513f},
{600, 0.0f, 0.0f, -2.451036f, 1.330097f},
{602, 0.0f, 0.0f, -2.298372f, 1.334341f},
{604, 0.0f, 0.0f, -2.145241f, 1.338243f},
{606, 0.0f, 0.0f, -1.991683f, 1.341800f},
{608, 0.0f, 0.0f, -1.837737f, 1.345009f},
{610, 0.0f, 0.0f, -1.683443f, 1.347870f},
{612, 0.0f, 0.0f, -1.528841f, 1.350381f},
{614, 0.0f, 0.0f, -1.373972f, 1.352538f},
{616, 0.0f, 0.0f, -1.218876f, 1.354342f},
{618, 0.0f, 0.0f, -1.063593f, 1.355791f},
{620, 0.0f, 0.0f, -0.908165f, 1.356884f},
{622, 0.0f, 0.0f, -0.752632f, 1.357621f},
{624, 0.0f, 0.0f, -0.597035f, 1.358001f},
{626, 0.0f, 0.0f, -0.441415f, 1.358023f},
{628, 0.0f, 0.0f, -0.285813f, 1.357688f},
{630, 0.0f, 0.0f, -0.130269f, 1.356996f},
{632, 0.0f, 0.0f, 0.025174f, 1.355947f},
{634, 0.0f, 0.0f, 0.180477f, 1.354543f},
{636, 0.0f, 0.0f, 0.335599f, 1.352783f},
{638, 0.0f, 0.0f, 0.490499f, 1.350670f},
{640, 0.0f, 0.0f, 0.645136f, 1.348203f},
{642, 0.0f, 0.0f, 0.799470f, 1.345386f},
{644, 0.0f, 0.0f, 0.953462f, 1.342220f},
{646, 0.0f, 0.0f, 1.107071f, 1.338706f},
{648, 0.0f, 0.0f, 1.260258f, 1.334847f},
{650, 0.0f, 0.0f, 1.412983f, 1.330646f},
{652, 0.0f, 0.0f, 1.565206f, 1.326105f},
{654, 0.0f, 0.0f, 1.716890f, 1.321226f},
{656, 0.0f, 0.0f, 1.867996f, 1.316014f},
{658, 0.0f, 0.0f, 2.018486f, 1.310470f},
{660, 0.0f, 0.0f, 2.168321f, 1.304599f},
{662, 0.0f, 0.0f, 2.317465f, 1.298404f},
{664, 0.0f, 0.0f, 2.465881f, 1.291889f},
{666, 0.0f, 0.0f, 2.613532f, 1.285057f},
{668, 0.0f, 0.0f, 2.760383f, 1.277914f},
{670, 0.0f, 0.0f, 2.906397f, 1.270463f},
{672, 0.0f, 0.0f, 3.051540f, 1.262708f},
{674, 0.0f, 0.0f, 3.195777f, 1.254655f},
{676, 0.0f, 0.0f, 3.339074f, 1.246307f},
{678, 0.0f, 0.0f, 3.481398f, 1.237670f},
{680, 0.0f, 0.0f, 3.622716f, 1.228749f},
{682, 0.0f, 0.0f, 3.762996f, 1.219549f},
{684, 0.0f, 0.0f, 3.902206f, 1.210075f},
{686, 0.0f, 0.0f, 4.040314f, 1.200332f},
{688, 0.0f, 0.0f, 4.177188f, 1.175888f},
{690, 0.0f, 0.0f, 4.302767f, 1.015888f},
{692, 0.0f, 0.0f, 4.410012f, 0.855888f},
{694, 0.0f, 0.0f, 4.498922f, 0.695888f},
{696, 0.0f, 0.0f, 4.569498f, 0.535888f},
{698, 0.0f, 0.0f, 4.621738f, 0.375888f},
{700, 0.0f, 0.0f, 4.655645f, 0.215888f},
{702, 0.0f, 0.0f, 4.671216f, 0.055888f},
{704, 0.0f, 0.0f, 4.668453f, -0.104112f},
{706, 0.0f, 0.0f, 4.647355f, -0.264112f},
{708, 0.0f, 0.0f, 4.607923f, -0.424112f},
